שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
משל הקדמוני.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי יצחק אבן סהולה/משל הקדמוני.txt,Ben-Yehuda,856
אני השר.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/אני השר.txt,Ben-Yehuda,5
בפי חרבי.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/בפי חרבי.txt,Ben-Yehuda,11
ואהבתי ושברי.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/ואהבתי ושברי.txt,Ben-Yehuda,18
אמר לאומרים.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/אמר לאומרים.txt,Ben-Yehuda,19
חָכְמַת הַיְּהוּדִי מקאמה.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי זכריה אלצ'אהרי/חָכְמַת הַיְּהוּדִי מקאמה.txt,Ben-Yehuda,11
מסעי יהודה פרק ראשון.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי יהודה אלחריזי/מסעי יהודה פרק ראשון.txt,Ben-Yehuda,218
זכה אשר.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שמואל הנגיד/זכה אשר.txt,Ben-Yehuda,6
הערות על אבן ספיר.txt,אוצריא/ספרות עזר/תולדות/הערות על אבן ספיר.txt,Ben-Yehuda,143
שאלו שלום ירושלם.txt,אוצריא/ספרות עזר/תולדות/שאלו שלום ירושלם.txt,Ben-Yehuda,64
טובת מראה.txt,אוצריא/ספרות עזר/תולדות/טובת מראה.txt,Ben-Yehuda,544
אבן ספיר.txt,אוצריא/ספרות עזר/תולדות/אבן ספיר.txt,Ben-Yehuda,672
הערות על שאלו שלום ירושלם.txt,אוצריא/ספרות עזר/תולדות/הערות על שאלו שלום ירושלם.txt,Ben-Yehuda,71
שבט יהודה.txt,אוצריא/ספרות עזר/תולדות/שבט יהודה.txt,Ben-Yehuda,1001
הערות על טובת מראה.txt,אוצריא/ספרות עזר/תולדות/הערות על טובת מראה.txt,Ben-Yehuda,2
יון מצולה.txt,אוצריא/ספרות עזר/תולדות/יון מצולה.txt,Ben-Yehuda,110
חיי יוסף.txt,אוצריא/ספרות עזר/תולדות/יוסף בן מתתיהו/חיי יוסף.txt,Ben-Yehuda,184
הערות על חיי יוסף.txt,אוצריא/ספרות עזר/תולדות/יוסף בן מתתיהו/הערות על חיי יוסף.txt,Ben-Yehuda,165
מראה הילדים.txt,אוצריא/ספרות עזר/תולדות/סגולות ורפואות/מראה הילדים.txt,Ben-Yehuda,1865
הערות על מראה הילדים.txt,אוצריא/ספרות עזר/תולדות/סגולות ורפואות/הערות על מראה הילדים.txt,Ben-Yehuda,12
ספר דרך תבונות.txt,אוצריא/תלמוד בבלי/ספרות עזר/ספר דרך תבונות.txt,Ben-Yehuda,48
ברית שלום על הגדה של פסח.txt,אוצריא/סדר התפילה/הגדה/מפרשים/ברית שלום על הגדה של פסח.txt,Dicta,23
ישמח משה על תפלות יוט וליקוטים.txt,אוצריא/סדר התפילה/מפרשים/ישמח משה על תפלות יוט וליקוטים.txt,Dicta,394
דרושי הצלח.txt,אוצריא/מחשבת ישראל/אחרונים/דרושי הצלח.txt,Dicta,989
מפעלות אלוקים.txt,אוצריא/מחשבת ישראל/ראשונים/מפעלות אלוקים.txt,Dicta,426
מלמד התלמידים.txt,אוצריא/מחשבת ישראל/ראשונים/מלמד התלמידים.txt,Dicta,934
האמונה והבטחון מיוחס לרמבן.txt,אוצריא/מחשבת ישראל/ראשונים/האמונה והבטחון מיוחס לרמבן.txt,Dicta,131
שער השמים.txt,אוצריא/מחשבת ישראל/ראשונים/שער השמים.txt,Dicta,581
אור הישר (תנך).txt,אוצריא/תנך/אחרונים/אור הישר (תנך).txt,Dicta,738
דבש תמר - א (תורה).txt,אוצריא/תנך/אחרונים/דבש תמר - א (תורה).txt,Dicta,176
שפתי דעת.txt,אוצריא/תנך/אחרונים/שפתי דעת.txt,Dicta,1239
פנים יפות בראשית.txt,אוצריא/תנך/אחרונים/פנים יפות בראשית.txt,Dicta,349
ישמח משה על נך.txt,אוצריא/תנך/אחרונים/ישמח משה על נך.txt,Dicta,1334
ברית שלום על חמשה מגילות.txt,אוצריא/תנך/אחרונים/ברית שלום על חמשה מגילות.txt,Dicta,228
תורת נתנאל על התורה.txt,אוצריא/תנך/אחרונים/תורת נתנאל על התורה.txt,Dicta,498
באר היטב (על התורה).txt,אוצריא/תנך/אחרונים/באר היטב (על התורה).txt,Dicta,1277
ליקוטי מהריל על התורה.txt,אוצריא/תנך/אחרונים/ליקוטי מהריל על התורה.txt,Dicta,349
דברי יהונתן.txt,אוצריא/תנך/אחרונים/דברי יהונתן.txt,Dicta,489
המדרש והמעשה במדבר.txt,אוצריא/תנך/אחרונים/המדרש והמעשה/המדרש והמעשה במדבר.txt,Dicta,747
המדרש והמעשה שמות.txt,אוצריא/תנך/אחרונים/המדרש והמעשה/המדרש והמעשה שמות.txt,Dicta,593
המדרש והמעשה דברים.txt,אוצריא/תנך/אחרונים/המדרש והמעשה/המדרש והמעשה דברים.txt,Dicta,586
המדרש והמעשה ויקרא.txt,אוצריא/תנך/אחרונים/המדרש והמעשה/המדרש והמעשה ויקרא.txt,Dicta,521
שביבי אש.txt,אוצריא/תנך/דרשות ודרושים/שביבי אש.txt,Dicta,788
גושפנקא דמלכא ליקוטים.txt,אוצריא/תנך/דרשות ודרושים/גושפנקא דמלכא ליקוטים.txt,Dicta,81
נחלי מים.txt,אוצריא/תנך/דרשות ודרושים/נחלי מים.txt,Dicta,534
חיים עד העולם.txt,אוצריא/תנך/דרשות ודרושים/חיים עד העולם.txt,Dicta,484
גבורות שלמה.txt,אוצריא/תנך/דרשות ודרושים/גבורות שלמה.txt,Dicta,230
יגל יעקב.txt,אוצריא/תנך/דרשות ודרושים/יגל יעקב.txt,Dicta,712
חצי יהונתן.txt,אוצריא/תנך/דרשות ודרושים/חצי יהונתן.txt,Dicta,45
עמק יהושע חלק ב.txt,אוצריא/תנך/דרשות ודרושים/עמק יהושע חלק ב.txt,Dicta,333
אבי הנחל.txt,אוצריא/תנך/דרשות ודרושים/אבי הנחל.txt,Dicta,1084
קשת יהונתן.txt,אוצריא/תנך/דרשות ודרושים/קשת יהונתן.txt,Dicta,137
תפארת עוזיאל חלק א.txt,אוצריא/תנך/דרשות ודרושים/תפארת עוזיאל חלק א.txt,Dicta,506
ליקוטי חבר בן חיים ב.txt,אוצריא/תנך/דרשות ודרושים/ליקוטי חבר בן חיים/ליקוטי חבר בן חיים ב.txt,Dicta,3608
רוקח על שיר השירים חלק א.txt,אוצריא/תנך/ראשונים/רוקח על שיר השירים חלק א.txt,Dicta,415
בנפש דוד.txt,אוצריא/קבלה/ספרי קבלה נוספים/בנפש דוד.txt,Dicta,653
בנין שמואל.txt,אוצריא/קבלה/ספרי קבלה נוספים/בנין שמואל.txt,Dicta,557
יושר לבב.txt,אוצריא/קבלה/ספרי קבלה נוספים/יושר לבב.txt,Dicta,304
וילקט יוסף.txt,אוצריא/קבלה/ספרי קבלה נוספים/וילקט יוסף.txt,Dicta,1831
קיצור מחברת הקודש.txt,אוצריא/קבלה/ספרי קבלה נוספים/קיצור מחברת הקודש.txt,Dicta,287
תולעת יעקב.txt,אוצריא/קבלה/ספרי קבלה נוספים/תולעת יעקב.txt,Dicta,420
מבוא שערים.txt,אוצריא/קבלה/כתבי הארי וחיים ויטאל/מבוא שערים.txt,Dicta,266
אור הישר (טהרות).txt,אוצריא/משנה/אחרונים/אור הישר (טהרות).txt,Dicta,2148
משנה אחרונה.txt,אוצריא/משנה/אחרונים/משנה אחרונה.txt,Dicta,1316
דבש תמר - ב (פירוש המשניות להרמבם).txt,אוצריא/משנה/אחרונים/דבש תמר - ב (פירוש המשניות להרמבם).txt,Dicta,581
אור הישר (זרעים).txt,אוצריא/משנה/אחרונים/אור הישר (זרעים).txt,Dicta,906
אלפא ביתא.txt,אוצריא/ספרי מוסר/אחרונים/אלפא ביתא.txt,Dicta,79
משלי יעקב.txt,אוצריא/ספרי מוסר/אחרונים/משלי יעקב.txt,Dicta,1488
אגרת התשובה לרבינו יונה.txt,אוצריא/ספרי מוסר/ראשונים/אגרת התשובה לרבינו יונה.txt,Dicta,81
קהלת משה.txt,אוצריא/חסידות/ספרי חסידות נוספים/קהלת משה.txt,Dicta,706
מגן אבות חלק א.txt,אוצריא/חסידות/ספרי חסידות נוספים/מגן אבות חלק א.txt,Dicta,938
אמרי צדיקים.txt,אוצריא/חסידות/ספרי חסידות נוספים/אמרי צדיקים.txt,Dicta,557
מנחם ציון.txt,אוצריא/חסידות/ספרי חסידות נוספים/מנחם ציון.txt,Dicta,192
עמודיה שבעה.txt,אוצריא/חסידות/ספרי חסידות נוספים/עמודיה שבעה.txt,Dicta,111
ספר הזכרונות.txt,אוצריא/חסידות/ר' צדוק הכוהן/ספר הזכרונות.txt,Dicta,47
אור הישר (ירושלמי).txt,אוצריא/תלמוד ירושלמי/מפרשים/אור הישר (ירושלמי).txt,Dicta,2047
שקל הקדש על ירושלמי שקלים.txt,אוצריא/תלמוד ירושלמי/מפרשים/שקל הקדש על ירושלמי שקלים.txt,Dicta,1053
חנה דוד על חלה.txt,אוצריא/תלמוד ירושלמי/מפרשים/חנה דוד על חלה.txt,Dicta,323
גליוני השס על ירושלמי מכות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי מכות.txt,Dicta,14
גליוני השס על ירושלמי בבא קמא.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי בבא קמא.txt,Dicta,50
גליוני השס על ירושלמי שבועות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי שבועות.txt,Dicta,36
גליוני השס על ירושלמי סנהדרין.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי סנהדרין.txt,Dicta,70
גליוני השס על ירושלמי עבודה זרה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי עבודה זרה.txt,Dicta,42
גליוני השס על ירושלמי בבא בתרא.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי בבא בתרא.txt,Dicta,34
גליוני השס על ירושלמי הוריות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי הוריות.txt,Dicta,16
גליוני השס על ירושלמי בבא מציעא.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי בבא מציעא.txt,Dicta,44
גליוני השס על ירושלמי שבת.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי שבת.txt,Dicta,93
גליוני השס כללים הערות וביאורים על ירושלמי מועד.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס כללים הערות וביאורים על ירושלמי מועד.txt,Dicta,263
גליוני השס על ירושלמי ראש השנה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי ראש השנה.txt,Dicta,22
גליוני השס על ירושלמי פסחים.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי פסחים.txt,Dicta,61
גליוני השס על ירושלמי מועד קטן.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי מועד קטן.txt,Dicta,11
גליוני השס על ירושלמי ביצה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי ביצה.txt,Dicta,29
גליוני השס על ירושלמי סוכה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי סוכה.txt,Dicta,19
גליוני השס על ירושלמי חגיגה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי חגיגה.txt,Dicta,25
גליוני השס על ירושלמי תענית.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי תענית.txt,Dicta,20
גליוני השס על ירושלמי יומא.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי יומא.txt,Dicta,41
גליוני השס על ירושלמי מגילה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי מגילה.txt,Dicta,19
גליוני השס על ירושלמי שקלים.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי שקלים.txt,Dicta,28
גליוני השס על ירושלמי עירובין.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי עירובין.txt,Dicta,42
גליוני השס על ירושלמי סוטה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי סוטה.txt,Dicta,62
גליוני השס על ירושלמי קידושין.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי קידושין.txt,Dicta,44
גליוני השס על ירושלמי כתובות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי כתובות.txt,Dicta,65
גליוני השס על ירושלמי נזיר.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי נזיר.txt,Dicta,23
גליוני השס על ירושלמי גיטין.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי גיטין.txt,Dicta,32
גליוני השס על ירושלמי יבמות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי יבמות.txt,Dicta,60
גליוני השס על ירושלמי נדרים.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי נדרים.txt,Dicta,21
קורא הדורות.txt,אוצריא/ספרות עזר/תולדות עם ישראל/קורא הדורות.txt,Dicta,313
זה הכלל.txt,אוצריא/ספרות עזר/כללי השס/זה הכלל.txt,Dicta,217
קהלת יעקב - ב.txt,אוצריא/ספרות עזר/אנציקלופדיות/קהלת יעקב - ב.txt,Dicta,3333
שדי חמד קונטרס כללי הפוסקים.txt,אוצריא/ספרות עזר/אנציקלופדיות/שדי חמד/שדי חמד קונטרס כללי הפוסקים.txt,Dicta,933
חמודי דניאל.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חמודי דניאל.txt,Dicta,423
קהלת יעקב (ליסא).txt,אוצריא/הלכה/שולחן ערוך/מפרשים/קהלת יעקב (ליסא).txt,Dicta,481
אבני מילואים חלק ב.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אבני מילואים חלק ב.txt,Dicta,1220
קונטרס הספקות.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/קונטרס הספקות.txt,Dicta,278
דעת תורה על שולחן ערוך יוד חלק א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/דעת תורה על שולחן ערוך יוד חלק א.txt,Dicta,1531
חידושי מהראל על שחיטה וטריפות.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי מהראל על שחיטה וטריפות.txt,Dicta,1452
ראשון לציון על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/ראשון לציון על שולחן ערוך יורה דעה.txt,Dicta,344
פעמוני זהב .txt,אוצריא/הלכה/שולחן ערוך/מפרשים/פעמוני זהב .txt,Dicta,3036
ילקוט הגרשוני אורח חיים א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/ילקוט הגרשוני אורח חיים א.txt,Dicta,1188
מטה יהונתן על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/מטה יהונתן על שולחן ערוך אורח חיים.txt,Dicta,181
ישמח משה על טור ושולחן ערוך.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/ישמח משה על טור ושולחן ערוך.txt,Dicta,78
אוצרות יוסף יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אוצרות יוסף יורה דעה.txt,Dicta,391
המקנה - קונטרס אחרון.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/המקנה - קונטרס אחרון.txt,Dicta,846
כתבי קודש על השולחן ערוך.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/כתבי קודש על השולחן ערוך.txt,Dicta,41
אלפי מנשה חושן משפט.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אלפי מנשה חושן משפט.txt,Dicta,643
הפלאה - קונטרס אחרון (הלכות כתובות).txt,אוצריא/הלכה/שולחן ערוך/מפרשים/הפלאה - קונטרס אחרון (הלכות כתובות).txt,Dicta,1278
סדרי טהרה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/סדרי טהרה.txt,Dicta,1270
משובב נתיבות על שולחן ערוך חושן משפט.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/קצות החושן/משובב נתיבות על שולחן ערוך חושן משפט.txt,Dicta,500
בית מאיר על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/בית מאיר/בית מאיר על שולחן ערוך יורה דעה.txt,Dicta,2113
בית מאיר על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/בית מאיר/בית מאיר על שולחן ערוך אורח חיים.txt,Dicta,1945
חידושי הרימ על שולחן ערוך חושן משפט חלק א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך חושן משפט חלק א.txt,Dicta,2002
חידושי הרימ על שולחן ערוך אבן העזר.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך אבן העזר.txt,Dicta,1865
חידושי הרימ על שולחן ערוך חושן משפט חלק ב.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך חושן משפט חלק ב.txt,Dicta,1542
אמרי בינה חושן משפט.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה חושן משפט.txt,Dicta,2577
אמרי בינה יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה יורה דעה.txt,Dicta,964
אמרי בינה אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה אורח חיים.txt,Dicta,870
מטה משה.txt,אוצריא/הלכה/אחרונים/מטה משה.txt,Dicta,2964
טיב גיטין (מודעי).txt,אוצריא/הלכה/אחרונים/טיב גיטין (מודעי).txt,Dicta,145
פועל צדק.txt,אוצריא/הלכה/אחרונים/פועל צדק.txt,Dicta,1164
מקורי מנהגים.txt,אוצריא/הלכה/אחרונים/מקורי מנהגים.txt,Dicta,141
נאות יעקב חלק ב.txt,אוצריא/הלכה/אחרונים/נאות יעקב חלק ב.txt,Dicta,598
דרך החיים.txt,אוצריא/הלכה/אחרונים/דרך החיים.txt,Dicta,2307
מחנה ישראל.txt,אוצריא/הלכה/אחרונים/מחנה ישראל.txt,Dicta,563
לדוד אמת.txt,אוצריא/הלכה/אחרונים/לדוד אמת.txt,Dicta,750
דבש תמר - ב (רמבם).txt,אוצריא/הלכה/משנה תורה/מפרשים/דבש תמר - ב (רמבם).txt,Dicta,78
תבונה.txt,אוצריא/הלכה/משנה תורה/מפרשים/תבונה.txt,Dicta,171
מחנה אפרים חלק א - ב.txt,אוצריא/הלכה/משנה תורה/מפרשים/מחנה אפרים חלק א - ב.txt,Dicta,2621
חדושי רבנו חיים הלוי על הרמבם.txt,אוצריא/הלכה/משנה תורה/מפרשים/חדושי רבנו חיים הלוי על הרמבם.txt,Dicta,970
דרך המלך (חוידנסקי).txt,אוצריא/הלכה/משנה תורה/מפרשים/דרך המלך (חוידנסקי).txt,Dicta,112
אוצר המלך על הלכות דעות.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות דעות.txt,Dicta,174
אוצר המלך על הלכות עבדים.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות עבדים.txt,Dicta,75
אוצר המלך על הלכות תלמוד תורה.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות תלמוד תורה.txt,Dicta,126
אוצר המלך על הקדמת הרמבם.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הקדמת הרמבם.txt,Dicta,8
אוצר המלך על הלכות יסודי התורה.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות יסודי התורה.txt,Dicta,189
אוצר המלך על הלכות עבודה זרה.txt,אוצריא/הלכה/משנה תורה/מפרשים/אוצר המלך/אוצר המלך על הלכות עבודה זרה.txt,Dicta,16
פתח הבית על משנה תורה הלכות קרבן פסח.txt,אוצריא/הלכה/משנה תורה/מפרשים/פתח הבית/פתח הבית על משנה תורה הלכות קרבן פסח.txt,Dicta,262
פתח הבית על משנה תורה הלכות תמידין ומוספין.txt,אוצריא/הלכה/משנה תורה/מפרשים/פתח הבית/פתח הבית על משנה תורה הלכות תמידין ומוספין.txt,Dicta,86
פתח הבית על משנה תורה הלכות עבודת יום הכיפורים.txt,אוצריא/הלכה/משנה תורה/מפרשים/פתח הבית/פתח הבית על משנה תורה הלכות עבודת יום הכיפורים.txt,Dicta,96
פתח הבית על משנה תורה הלכות חגיגה.txt,אוצריא/הלכה/משנה תורה/מפרשים/פתח הבית/פתח הבית על משנה תורה הלכות חגיגה.txt,Dicta,92
מרכבת המשנה על הלכות תפלה.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות תפלה.txt,Dicta,159
מרכבת המשנה על הלכות קדוש החודש.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות קדוש החודש.txt,Dicta,47
מרכבת המשנה על הלכות ציצית.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות ציצית.txt,Dicta,41
מרכבת המשנה על הלכות תענית.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות תענית.txt,Dicta,39
מרכבת המשנה על הלכות ברכות.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות ברכות.txt,Dicta,127
מרכבת המשנה על הלכות שביתת עשור.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות שביתת עשור.txt,Dicta,11
מרכבת המשנה על הלכות יום טוב.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות יום טוב.txt,Dicta,59
מרכבת המשנה על הלכות חמץ ומצה.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות חמץ ומצה.txt,Dicta,95
מרכבת המשנה על הלכות מגילה וחנוכה.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות מגילה וחנוכה.txt,Dicta,52
מרכבת המשנה על הלכות דעות.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות דעות.txt,Dicta,21
מרכבת המשנה על הלכות שקלים.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות שקלים.txt,Dicta,57
מרכבת המשנה על הלכות שבת.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות שבת.txt,Dicta,224
מרכבת המשנה על הלכות שופר סוכה ולולב.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות שופר סוכה ולולב.txt,Dicta,103
מרכבת המשנה על הלכות קריאת שמע.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות קריאת שמע.txt,Dicta,43
מרכבת המשנה על הלכות תלמוד תורה.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות תלמוד תורה.txt,Dicta,57
מרכבת המשנה על הלכות עבודה זרה.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות עבודה זרה.txt,Dicta,176
מרכבת המשנה על הלכות מילה.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות מילה.txt,Dicta,27
מרכבת המשנה על הלכות תפילין ומזוזה וספר תורה.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות תפילין ומזוזה וספר תורה.txt,Dicta,95
מרכבת המשנה על הלכות יסודי התורה.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות יסודי התורה.txt,Dicta,37
מרכבת המשנה על הלכות עירובין.txt,אוצריא/הלכה/משנה תורה/מפרשים/מרכבת המשנה/מרכבת המשנה על הלכות עירובין.txt,Dicta,46
